Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	ANI Check status	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Stats Total Number of Chromosomes	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Stats Number of Scaffolds	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Type Material Display Text	CheckM marker set	CheckM completeness	CheckM contamination
GCA_019677325.2	ASM1967732v2	Pleurotus cornucopiae	5321						CCMSSC00406		Annotation submitted by Institute of Agricultural Resources and Regional Planning	32382086	11	Complete Genome	2021-08-25	WQMT02	215546	3564128	11							Illumina	Institute of Agricultural Resources and Regional Planning	PRJNA593973	SAMN13497034	10437	10437					
GCA_014466165.1	ASM1446616v1	Pleurotus ostreatus	5322			PC9					Annotation submitted by Academia Sinica	34897228		Contig	2020-09-03	JACETU01	3500734									PacBio; Illumina	Academia Sinica	PRJNA647232	SAMN15594696	11875	11693					
GCF_014466165.1	ASM1446616v1	Pleurotus ostreatus	5322			PC9					Annotation submitted by Academia Sinica	34897228		Contig	2020-09-03	JACETU01	3500734									PacBio; Illumina	Academia Sinica	PRJNA647232	SAMN15594696	11849	11694					
GCA_029467805.1	ASM2946780v1	Pleurotus eryngii var. eryngii	280321			CCMJ2132						53459950		Contig	2023-03-29	SZVJ01	3172794									PacBio Sequel	Jilin Agricultural University	PRJNA529267	SAMN11263496							
GCA_036872985.1	ASM3687298v1	Pleurotus tuoliensis	879823			Ptuo-s1						43778493		Contig	2024-02-26	JAYMDH01	3877685									Nanopore	Qingdao Agriculturual University	PRJNA1061822	SAMN39283103							
GCA_012980535.1	ASM1298053v1	Pleurotus pulmonarius	28995			PM_ss5					Annotation submitted by Academia Sinica	39866212		Contig	2020-05-07	SJKF01	3374720									PacBio	Academia Sinica	PRJNA523390	SAMN10975498	11139	10953					
GCA_017312325.1	RS_HGAP_Assembly.3	Pleurotus citrinopileatus	98342			HfpriPC05-1-Y1						38586867		Contig	2021-03-02	BHFW01	2853238									PacBio RS II	Tottori University	PRJDB7310	SAMD00134882							
GCA_014058305.1	ASM1405830v1	Pleurotus tuber-regium	716892			ACCC 50657-18						35822125		Contig	2020-08-04	JACFYU01	2556151									PacBio Sequel	Huazhong Agricultural University	PRJNA644065	SAMN15447141							
GCA_019395345.1	ASM1939534v1	Pleurotus floridanus	98346			CCMSSC00406						35078781		Scaffold	2021-07-29	QBLA01	186309	331558	425							Illumina HiSeq	Chinese Academy of Agricultural Sciences	PRJNA449255	SAMN08892295							
GCA_002583695.1	PsmonoN60v_1.0	Pleurotus salmoneostramineus	64638			N60						39193168		Scaffold	2017-10-04	BEWF01	104923	108301	1372							Illumina NextSeq 500	Applied Bioscience, Kindai University, Faculty of Agriculture	PRJDB6242	SAMD00092845							
GCA_029747585.1	Pleurotus_djamor_reassembly_enz	Pleurotus djamor	34470			MPG-05					Annotation submitted by TU Dresden - IHI Zittau	62543681		Scaffold	2023-04-14	JAPEVF01	51933	52533	2603							IonTorrent	TU Dresden - IHI Zittau	PRJNA896869	SAMN31571033	19702	19702					
GCA_032158425.1	ASM3215842v1	Pleurotus giganteus	1156456			PG46						40070066		Contig	2023-09-28	JAPEHR01	2887167									PacBio Sequel	Chinese Academy of Tropical Agricultural Sciences	PRJNA896531	SAMN31552355							
GCA_026743855.1	ASM2674385v1	Pleurotus sapidus	98349			DSM 8266						46879574		Contig	2022-12-08	JANBWZ01	1656594									Illumina; PacBio	Justus Liebig University Giessen	PRJNA854300	SAMN29427987							
GCA_003313735.1	ASM331373v1	Pleurotus platypus	2015914			MG11						39966270		Scaffold	2018-07-11	QLOV01	59239	62119	6484							Complete Genomics	Kunming University of Science and Technology	PRJNA454572	SAMN09010680							
GCA_947034855.1	gfPleOstr1.1	Pleurotus ostreatus	5322									40554023	12	Chromosome	2022-10-07	CAMQQE01	4316464	4316464	14							PacBio,Arima2	WELLCOME SANGER INSTITUTE	PRJEB52666	SAMEA8562045							
GCA_029852705.2	AS_PC9.15	Pleurotus ostreatus	5322			PC9.15					 	35312784	11	Chromosome	2023-05-15	JAQZRA01	3339398	3339398	13							Nanopore	Academia Sinica	PRJNA933115	SAMN33222629	13556	13411					
GCA_003313235.2	03989_v2	Pleurotus ostreatus	5322			CCMSSC03989						34364324	11	Chromosome	2019-06-07	QLNW02	295689	2851238	89							Illumina	Chinese Academy of Agricultural Sciences	PRJNA476433	SAMN09434509							
GCA_001956935.2	CCMSSC00389_v2	Pleurotus ostreatus	5322			CCMSSC00389						35093820	11	Chromosome	2019-06-07	MAYC02	161984	3067903	136							Illumina	iarrp	PRJNA327267	SAMN05327826							
GCA_947034875.1	gfPleOstr1.1 alternate haplotype	Pleurotus ostreatus	5322									40820812		Contig	2022-10-08	CAMQQD01	1811266									PacBio,Arima2	WELLCOME SANGER INSTITUTE	PRJEB52667	SAMEA8562045							
GCA_000697685.1	PleosPC15_2	Pleurotus ostreatus PC15	1137138			PC15					Annotation submitted by JGI	34342730		Scaffold	2014-06-05	AYUK01	3270165	3270165	12							Sanger dideoxy sequencing	JGI	PRJNA81933	SAMN02746102	12460	12296	3				
GCA_003243765.1	ASM324376v1	Pleurotus eryngii	5323			JKXB130DA						49917831		Contig	2018-06-18	QCWS01	562808									PacBio	Northeast Normal University	PRJNA450170	SAMN08931441							
GCA_001717165.1	ASM171716v1	Pleurotus eryngii	5323			183						43779707		Scaffold	2016-08-30	MAZY01	391497	508674	166							Illumina HiSeq; PacBio	Shanghai Academy of Agricultural Sciences	PRJNA328404	SAMN05371019							
GCA_015484515.1	Pleery1	Pleurotus eryngii	5323			ATCC 90797					Annotation submitted by DOE Joint Genome Institute	44606964		Scaffold	2020-11-15	JADNRH01	87948	241626	609							Illumina	DOE Joint Genome Institute	PRJNA333100	SAMN05445980	16135	15954	6				
GCA_029467795.1	ASM2946779v1	Pleurotus eryngii var. ferulae	228215			CCMJ970						47996066		Contig	2023-03-29	SPUN01	2342731									PacBio Sequel	Jilin Agricultural University	PRJNA529050	SAMN11254537							
GCA_029874175.1	ASM2987417v1	Pleurotus eryngii var. elaeoselini	662516			CCMJ2131						51138829		Contig	2023-04-26	SPUP01	2983285									PacBio Sequel	Jilin Agricultural University	PRJNA529063	SAMN11254633							
GCA_012979565.1	PM_ss13_v1	Pleurotus pulmonarius	28995			PM_ss13					Annotation submitted by Academia Sinica	42552915		Contig	2020-05-07	SJDA01	3242126									PacBio	Academia Sinica	PRJNA523384	SAMN10975410	12065	11873					
